Concat,Alkalinity,Calcium,Chloride,Copper,DOC,Hardness,Magnesium,pH,Potassium,Sodium,Sulfate,Temperature,New_Total,Category5,Field16,Analyte_count,Field18,StationName,StationCode,SampleDate,TargetLatitude,TargetLongitude,Program,ParentProject,Project,Data_Source,NearStream_Distance,Stream_Name,HUC8_Name
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20154365541697,,,,Copper,,Hardness,,pH,,,,Temperature,4,3,,4,,North Hollywood CSF Outlet,43655,2/27/2014 0:00,34.148602,-118.3729019,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2014-2015,CEDEN,66.2445356,Central Branch Tujunga Wash,Los Angeles
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20154365541985,,,,Copper,,Hardness,,,,,,,2,0,,2,,North Hollywood CSF Outlet,43655,12/12/2014 0:00,34.148602,-118.3729019,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2014-2015,CEDEN,66.2445356,Central Branch Tujunga Wash,Los Angeles
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20154365542064,,,,Copper,,Hardness,,,,,,,2,0,,2,,North Hollywood CSF Outlet,43655,3/1/2015 0:00,34.148602,-118.3729019,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2014-2015,CEDEN,66.2445356,Central Branch Tujunga Wash,Los Angeles
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20154365542694,,,,,,,,pH,,,,Temperature,2,1,,2,,North Hollywood CSF Outlet,43655,11/20/2016 0:00,34.148602,-118.3729019,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2016-2017,CEDEN,66.2445356,Central Branch Tujunga Wash,Los Angeles
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20154365542719,,,,,,,,pH,,,,Temperature,2,1,,2,,North Hollywood CSF Outlet,43655,12/15/2016 0:00,34.148602,-118.3729019,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2016-2017,CEDEN,66.2445356,Central Branch Tujunga Wash,Los Angeles
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20154365542744,,,,,,,,pH,,,,Temperature,2,1,,2,,North Hollywood CSF Outlet,43655,1/9/2017 0:00,34.148602,-118.3729019,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2016-2017,CEDEN,66.2445356,Central Branch Tujunga Wash,Los Angeles
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20154365543161,,,,Copper,,Hardness,,pH,,,,Temperature,4,3,,4,,North Hollywood CSF Outlet,43655,3/2/2018 0:00,34.148602,-118.3729019,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2017-2018,CEDEN,66.2445356,Central Branch Tujunga Wash,Los Angeles
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20154365543169,,,,Copper,,Hardness,,pH,,,,Temperature,4,3,,4,,North Hollywood CSF Outlet,43655,3/10/2018 0:00,34.148602,-118.3729019,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2017-2018,CEDEN,66.2445356,Central Branch Tujunga Wash,Los Angeles
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20154365543180,,,,,,,,pH,,,,Temperature,2,1,,2,,North Hollywood CSF Outlet,43655,3/21/2018 0:00,34.148602,-118.3729019,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2017-2018,CEDEN,66.2445356,Central Branch Tujunga Wash,Los Angeles
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20154365543182,,,,Copper,,Hardness,,,,,,,2,0,,2,,North Hollywood CSF Outlet,43655,3/23/2018 0:00,34.148602,-118.3729019,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2017-2018,CEDEN,66.2445356,Central Branch Tujunga Wash,Los Angeles
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-20141697,,,,Copper,,Hardness,,pH,,,,Temperature,4,3,,4,,UCLA-1,7-201,2/27/2014 0:00,34.165401,-118.4813004,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2014-2015,CEDEN,665.3531728,Los Angeles River,Los Angeles
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-20141985,,,,Copper,,Hardness,,,,,,,2,0,,2,,UCLA-1,7-201,12/12/2014 0:00,34.165401,-118.4813004,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2014-2015,CEDEN,665.3531728,Los Angeles River,Los Angeles
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-20142064,,,,Copper,,Hardness,,,,,,,2,0,,2,,UCLA-1,7-201,3/1/2015 0:00,34.165401,-118.4813004,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2014-2015,CEDEN,665.3531728,Los Angeles River,Los Angeles
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-20142694,,,,,,,,pH,,,,Temperature,2,1,,2,,UCLA-1,7-201,11/20/2016 0:00,34.165401,-118.4813004,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2016-2017,CEDEN,665.3531728,Los Angeles River,Los Angeles
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-20142719,,,,,,,,pH,,,,Temperature,2,1,,2,,UCLA-1,7-201,12/15/2016 0:00,34.165401,-118.4813004,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2016-2017,CEDEN,665.3531728,Los Angeles River,Los Angeles
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-20142744,,,,,,,,pH,,,,Temperature,2,1,,2,,UCLA-1,7-201,1/9/2017 0:00,34.165401,-118.4813004,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2016-2017,CEDEN,665.3531728,Los Angeles River,Los Angeles
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-33641697,,,,Copper,,Hardness,,pH,,,,Temperature,4,3,,4,,SMB-MC,7-336,2/27/2014 0:00,34.034882,-118.6813202,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2013-2014,CEDEN,77.95060321,Malibu Creek,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-33641985,,,,Copper,,Hardness,,,,,,,2,0,,2,,SMB-MC,7-336,12/12/2014 0:00,34.034882,-118.6813202,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2014-2015,CEDEN,77.95060321,Malibu Creek,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-33642064,,,,Copper,,Hardness,,,,,,,2,0,,2,,SMB-MC,7-336,3/1/2015 0:00,34.034882,-118.6813202,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2014-2015,CEDEN,77.95060321,Malibu Creek,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-33642694,,,,,,,,pH,,,,Temperature,2,1,,2,,SMB-MC,7-336,11/20/2016 0:00,34.034882,-118.6813202,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2016-2017,CEDEN,77.95060321,Malibu Creek,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-33642719,,,,,,,,pH,,,,Temperature,2,1,,2,,SMB-MC,7-336,12/15/2016 0:00,34.034882,-118.6813202,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2016-2017,CEDEN,77.95060321,Malibu Creek,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-33642744,,,,,,,,pH,,,,Temperature,2,1,,2,,SMB-MC,7-336,1/9/2017 0:00,34.034882,-118.6813202,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2016-2017,CEDEN,77.95060321,Malibu Creek,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-34342783,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG005,7-343,2/17/2017 0:00,34.0839,-119.038002,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2016-2017,CEDEN,150.9886005,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-34343108,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG005,7-343,1/8/2018 0:00,34.0839,-119.038002,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2016-2017,CEDEN,150.9886005,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-34542754,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG010,7-345,1/19/2017 0:00,34.070801,-119.0149994,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2016-2017,CEDEN,2.679276594,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-34542776,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG010,7-345,2/10/2017 0:00,34.070801,-119.0149994,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2016-2017,CEDEN,2.679276594,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-34542783,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG010,7-345,2/17/2017 0:00,34.070801,-119.0149994,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2016-2017,CEDEN,2.679276594,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-34543109,,,,Copper,,,,pH,,,,Temperature,3,1,,3,,MUG010,7-345,1/9/2018 0:00,34.070801,-119.0149994,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2017-2018,CEDEN,2.679276594,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-34543161,,,,Copper,,,,pH,,,,Temperature,3,1,,3,,MUG010,7-345,3/2/2018 0:00,34.070801,-119.0149994,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2017-2018,CEDEN,2.679276594,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-34543180,,,,Copper,,,,pH,,,,Temperature,3,1,,3,,MUG010,7-345,3/21/2018 0:00,34.070801,-119.0149994,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2017-2018,CEDEN,2.679276594,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-34642776,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG013,7-346,2/10/2017 0:00,34.065399,-118.9940033,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2016-2017,CEDEN,2024.196247,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-34643161,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG013,7-346,3/2/2018 0:00,34.065399,-118.9940033,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2016-2017,CEDEN,2024.196247,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-34742754,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG016,7-347,1/19/2017 0:00,34.062901,-118.9869995,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2016-2017,CEDEN,2029.125083,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-34742776,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG016,7-347,2/10/2017 0:00,34.062901,-118.9869995,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2016-2017,CEDEN,2029.125083,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-34743109,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG016,7-347,1/9/2018 0:00,34.062901,-118.9869995,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2017-2018,CEDEN,2029.125083,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-34842754,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG028,7-348,1/19/2017 0:00,34.058899,-118.973999,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2016-2017,CEDEN,785.5336187,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-34843161,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG028,7-348,3/2/2018 0:00,34.058899,-118.973999,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2017-2018,CEDEN,785.5336187,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-34941698,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG031,7-349,2/28/2014 0:00,34.056301,-118.9690018,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2014-2015,CEDEN,319.4140433,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-35042776,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG041,7-350,2/10/2017 0:00,34.053501,-118.9639969,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2016-2017,CEDEN,28.83736424,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-35043180,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG041,7-350,3/21/2018 0:00,34.053501,-118.9639969,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2016-2017,CEDEN,28.83736424,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-35141698,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG046,7-351,2/28/2014 0:00,34.052101,-118.9609985,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2014-2015,CEDEN,345.1243247,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-35142754,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG046,7-351,1/19/2017 0:00,34.052101,-118.9609985,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2016-2017,CEDEN,345.1243247,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-35143108,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG046,7-351,1/8/2018 0:00,34.052101,-118.9609985,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2017-2018,CEDEN,345.1243247,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-35241698,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG048,7-352,2/28/2014 0:00,34.051601,-118.9589996,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2014-2015,CEDEN,535.4816522,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-35242754,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG048,7-352,1/19/2017 0:00,34.051601,-118.9589996,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2016-2017,CEDEN,535.4816522,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-35243108,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG048,7-352,1/8/2018 0:00,34.051601,-118.9589996,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2017-2018,CEDEN,535.4816522,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-35341698,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG049,7-353,2/28/2014 0:00,34.051701,-118.9589996,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2014-2015,CEDEN,531.0833768,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-35342776,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG049,7-353,2/10/2017 0:00,34.051701,-118.9589996,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2016-2017,CEDEN,531.0833768,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-35343108,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG049,7-353,1/8/2018 0:00,34.051701,-118.9589996,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2017-2018,CEDEN,531.0833768,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-35441698,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG051,7-354,2/28/2014 0:00,34.0509,-118.9570007,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2014-2015,CEDEN,735.7256314,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-35442776,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG051,7-354,2/10/2017 0:00,34.0509,-118.9570007,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2016-2017,CEDEN,735.7256314,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-35443108,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG051,7-354,1/8/2018 0:00,34.0509,-118.9570007,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2017-2018,CEDEN,735.7256314,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-35541698,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG053,7-355,2/28/2014 0:00,34.050201,-118.9550018,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2014-2015,CEDEN,935.893263,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-35542776,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG053,7-355,2/10/2017 0:00,34.050201,-118.9550018,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2016-2017,CEDEN,935.893263,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-35543161,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG053,7-355,3/2/2018 0:00,34.050201,-118.9550018,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2017-2018,CEDEN,935.893263,,Santa Monica Bay
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20157-35642776,,,,,,,,pH,,,,Temperature,2,1,,2,,MUG058,7-356,2/10/2017 0:00,34.048401,-118.9499969,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2016-2017,CEDEN,1365.42303,Arroyo Sequit,Santa Monica Bay
